,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,ANDHRA PRADESH,2741239,1369597,1371642,1483347,2399901,275970,15422,1377,25510,5512
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,ANDHRA PRADESH,4081148,2064495,2016653,2310960,3599372,443456,20463,932,341,8606
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,ANDHRA PRADESH,4174064,2090204,2083860,2667878,3737588,397870,24129,867,253,13763
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,ANDHRA PRADESH,5154296,2569688,2584608,3288577,4983330,77777,77825,738,413,22411
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,ANDHRA PRADESH,4887813,2440521,2447292,2960441,4217597,559770,89763,764,323,19383
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,ANDHRA PRADESH,3943323,2018575,1924748,2892155,2046051,1713405,87522,11446,1268,149034
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,ANDHRA PRADESH,3776269,1880800,1895469,2206829,3491139,244723,24979,2086,332,8831
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,ANDHRA PRADESH,2797370,1390988,1406382,1630234,2595321,158887,33463,655,217,8628
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,ANDHRA PRADESH,4517398,2267375,2250023,3009718,4023678,307043,145598,1393,863,30438
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,ANDHRA PRADESH,4053463,2039227,2014236,2127161,3328380,670737,33165,737,255,10081
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,ANDHRA PRADESH,4053028,2050386,2002642,1940646,3673456,334172,21345,658,290,6153
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,ANDHRA PRADESH,3033288,1523030,1510258,1637137,2637313,342449,34301,1309,554,8635
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,ANDHRA PRADESH,3488809,1759772,1729037,2001019,3249231,188646,35025,937,241,7715
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,ANDHRA PRADESH,2551335,1250641,1300694,1389810,2123426,391596,19653,2357,1847,5261
